Wind Speed (m/s),Turbine Output
0,0
0.25,0
0.5,0
0.75,0
1,0
1.25,0
1.5,0
1.75,0
2,0
2.25,0
2.5,0
2.75,0
3,0.78
3.25,14.75
3.5,27.17
3.75,39.6
4,53.56
4.25,69.1
4.5,90.83
4.75,107.92
5,131.21
5.25,156.06
5.5,182.45
5.75,218.17
6,246.12
6.25,275.62
6.5,305.12
6.75,334.63
7,365.68
7.25,407.6
7.5,444.88
7.75,482.14
8,519.41
8.25,555.12
8.5,592.39
8.75,638.98
9,676.24
9.25,711.96
9.5,749.22
9.75,784.94
10,826.85
10.25,859.47
10.5,887.42
10.75,913.81
11,937.11
11.25,958.85
11.5,975.93
11.75,985.25
12,989.91
12.25,994.56
12.5,1000
12.75,1000
13,1000
13.25,1000
13.5,999.22
13.75,999.22
14,999.22
14.25,999.22
14.5,999.22
14.75,999.22
15,999.22
15.25,1000
15.5,1000
15.75,1000
16,1000
16.25,1000
16.5,1000
16.75,1000
17,1000
17.25,1000
17.5,1000
17.75,1000
18,1000
18.25,1000
18.5,1000
18.75,1000
19,1000
19.25,1000
19.5,1000
19.75,1000
20,1000
20.25,1000
20.5,1000
20.75,1000
21,1000
21.25,1000
21.5,1000
21.75,1000
22,1000
22.25,1000
22.5,1000
22.75,1000
23,1000
23.25,1000
23.5,1000
23.75,1000
24,1000
24.25,1000
24.5,1000
24.75,1000
25,1000
25.25,0
25.5,0
25.75,0
26,0
26.25,0
26.5,0
26.75,0
27,0
27.25,0
27.5,0
27.75,0
28,0
28.25,0
28.5,0
28.75,0
29,0
29.25,0
29.5,0
29.75,0
30,0
30.25,0
30.5,0
30.75,0
31,0
31.25,0
31.5,0
31.75,0
32,0
32.25,0
32.5,0
32.75,0
33,0
33.25,0
33.5,0
33.75,0
34,0
34.25,0
34.5,0
34.75,0
35,0
35.25,0
35.5,0
35.75,0
36,0
36.25,0
36.5,0
36.75,0
37,0
37.25,0
37.5,0
37.75,0
38,0
38.25,0
38.5,0
38.75,0
39,0
39.25,0
39.5,0
39.75,0
40,0
